Country,Region,Subregion,population,area_km2,density
Sudan,Africa,Northern Africa,50448963,1868000.0,27.0
Suriname,Americas,Latin America and the Caribbean,634431,160508.0,4.0
Sweden,Europe,Northern Europe,10606999,407280.0,26.0
Switzerland,Europe,Western Europe,8921981,39510.0,226.0
Syrian Arab Republic,Asia,Western Asia,24672760,185178.0,133.0
Tajikistan,Asia,Central Asia,10590928,138790.0,76.0
Thailand,Asia,South-eastern Asia,71668011,510890.0,140.0
Timor-Leste,Asia,South-eastern Asia,1400638,14870.0,94.0
Togo,Africa,Sub-Saharan Africa,9515236,54390.0,175.0
Tokelau,Oceania,Polynesia,2507,10.0,251.0
Tonga,Oceania,Polynesia,104176,720.0,145.0
Trinidad and Tobago,Americas,Latin America and the Caribbean,1507782,5130.0,294.0
Tunisia,Africa,Northern Africa,12277109,155360.0,79.0
Turkey,Asia,Western Asia,87473805,769630.0,114.0
Turkmenistan,Asia,Central Asia,7494499,469930.0,16.0
Turks and Caicos Islands,Americas,Latin America and the Caribbean,46535,950.0,49.0
Tuvalu,Oceania,Polynesia,9646,30.0,322.0
Uganda,Africa,Sub-Saharan Africa,50015093,200520.0,249.0
Ukraine,Europe,Eastern Europe,37860222,579400.0,65.0
United Arab Emirates,Asia,Western Asia,11027129,71020.0,155.0
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,69281437,242741.0,285.0
United Republic of Tanzania,Africa,Sub-Saharan Africa,68560157,885800.0,77.0
United States,Americas,Northern America,341730701,9147590.0,37.0
United States Virgin Islands,Americas,Latin America and the Caribbean,84905,350.0,243.0
Uruguay,Americas,Latin America and the Caribbean,3386588,175020.0,19.0
Uzbekistan,Asia,Central Asia,36361859,440652.0,83.0
Vanuatu,Oceania,Melanesia,327778,12190.0,27.0
Venezuela,Americas,Latin America and the Caribbean,28405543,882050.0,32.0
Viet Nam,Asia,South-eastern Asia,100987687,313429.0,322.0
Wallis and Futuna Islands,Oceania,Polynesia,11278,140.0,81.0
Western Sahara,Africa,Northern Africa,590506,266000.0,2.2
Yemen,Asia,Western Asia,40583165,527970.0,77.0
Zambia,Africa,Sub-Saharan Africa,21314956,743390.0,29.0
Zimbabwe,Africa,Sub-Saharan Africa,16634373,386850.0,43.0
Åland Islands,Europe,Northern Europe,30237,1583.0,20.0
